34.69118,-1.966135|34.70118,-1.956135
33.999946999999985,-4.953580000000002|34.00994699999998,-4.9435800000000025
34.00994699999998,-5.07358|34.01994699999998,-5.06358
34.00994699999998,-5.06358|34.01994699999998,-5.05358
34.00994699999998,-5.05358|34.01994699999998,-5.04358
34.00994699999998,-5.04358|34.01994699999998,-5.033580000000001
34.00994699999998,-5.033580000000001|34.01994699999998,-5.023580000000001
34.00994699999998,-5.023580000000001|34.01994699999998,-5.013580000000001
34.00994699999998,-5.013580000000001|34.01994699999998,-5.003580000000001
34.00994699999998,-5.003580000000001|34.01994699999998,-4.9935800000000015
34.00994699999998,-4.9935800000000015|34.01994699999998,-4.983580000000002
34.00994699999998,-4.983580000000002|34.01994699999998,-4.973580000000002
34.00994699999998,-4.973580000000002|34.01994699999998,-4.963580000000002
34.00994699999998,-4.963580000000002|34.01994699999998,-4.953580000000002
34.00994699999998,-4.953580000000002|34.01994699999998,-4.9435800000000025
34.01994699999998,-5.07358|34.02994699999998,-5.06358
34.01994699999998,-5.06358|34.02994699999998,-5.05358
34.01994699999998,-5.05358|34.02994699999998,-5.04358
34.01994699999998,-5.04358|34.02994699999998,-5.033580000000001
34.01994699999998,-5.033580000000001|34.02994699999998,-5.023580000000001
34.01994699999998,-5.023580000000001|34.02994699999998,-5.013580000000001
34.01994699999998,-5.013580000000001|34.02994699999998,-5.003580000000001
34.01994699999998,-5.003580000000001|34.02994699999998,-4.9935800000000015
34.01994699999998,-4.9935800000000015|34.02994699999998,-4.983580000000002
34.01994699999998,-4.983580000000002|34.02994699999998,-4.973580000000002
34.01994699999998,-4.973580000000002|34.02994699999998,-4.963580000000002
34.01994699999998,-4.963580000000002|34.02994699999998,-4.953580000000002
34.02994699999998,-5.07358|34.03994699999998,-5.06358
34.02994699999998,-5.06358|34.03994699999998,-5.05358
34.02994699999998,-5.05358|34.03994699999998,-5.04358
34.02994699999998,-5.04358|34.03994699999998,-5.033580000000001
34.02994699999998,-5.033580000000001|34.03994699999998,-5.023580000000001
34.02994699999998,-5.023580000000001|34.03994699999998,-5.013580000000001
34.02994699999998,-5.013580000000001|34.03994699999998,-5.003580000000001
34.02994699999998,-5.003580000000001|34.03994699999998,-4.9935800000000015
34.02994699999998,-4.9935800000000015|34.03994699999998,-4.983580000000002
34.02994699999998,-4.983580000000002|34.03994699999998,-4.973580000000002
34.02994699999998,-4.973580000000002|34.03994699999998,-4.963580000000002
34.03994699999998,-5.07358|34.049946999999975,-5.06358
34.03994699999998,-5.06358|34.049946999999975,-5.05358
34.03994699999998,-5.05358|34.049946999999975,-5.04358
34.03994699999998,-5.04358|34.049946999999975,-5.033580000000001
34.03994699999998,-5.033580000000001|34.049946999999975,-5.023580000000001
34.03994699999998,-5.023580000000001|34.049946999999975,-5.013580000000001
34.03994699999998,-5.013580000000001|34.049946999999975,-5.003580000000001
34.03994699999998,-5.003580000000001|34.049946999999975,-4.9935800000000015
34.03994699999998,-4.9935800000000015|34.049946999999975,-4.983580000000002
34.03994699999998,-4.963580000000002|34.049946999999975,-4.953580000000002
34.03994699999998,-4.953580000000002|34.049946999999975,-4.9435800000000025
34.049946999999975,-5.06358|34.05994699999997,-5.05358
34.049946999999975,-5.05358|34.05994699999997,-5.04358
34.049946999999975,-5.04358|34.05994699999997,-5.033580000000001
34.049946999999975,-5.033580000000001|34.05994699999997,-5.023580000000001
34.049946999999975,-5.023580000000001|34.05994699999997,-5.013580000000001
34.049946999999975,-5.013580000000001|34.05994699999997,-5.003580000000001
34.049946999999975,-5.003580000000001|34.05994699999997,-4.9935800000000015
34.049946999999975,-4.9935800000000015|34.05994699999997,-4.983580000000002
34.049946999999975,-4.983580000000002|34.05994699999997,-4.973580000000002
34.049946999999975,-4.973580000000002|34.05994699999997,-4.963580000000002
34.049946999999975,-4.963580000000002|34.05994699999997,-4.953580000000002
34.049946999999975,-4.953580000000002|34.05994699999997,-4.9435800000000025
